1,Good
1,very good
1,very good
1,awesome
1,awesome
1,very good
1,Awesome
0,not good
0,Not good
0,battery not good
0,Not awesome
1,good protection and does not make phone too bulky.
1,Super
0,Worst
1,not bad
0,"""bad"""
0,"""bad"""
0,"""dumb"""
0,"""dumb"""
0,bad
0,front camera bad
0,front camera bad
1,bvc
0,not bvc
1,Simply great. Camera quality and focusing too good. Front camera also good. Speed and performance better. Screen wise and clarity of screen awesome.
0,Problem charging
0,So there is no way for me to plug it in here in the US unless I go by a converter.
1,Good case Excellent value.
1,Great for the jawbone.
0,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!
1,The mic is great.
0,I have to jiggle the plug to get it to line up right to get decent volume.
0,If you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one.
1,If you are Razr owner...you must have this!
0,Needless to say I wasted my money.
0,What a waste of money and time!.
0,Akshu is dumb.
1,And the sound quality is great.
1,He was very impressed when going from the original battery to the extended battery.
0,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.
1,Very good quality though
0,The design is very odd as the ear "clip" is not very comfortable at all.
1,Highly recommend for any one who has a blue tooth phone.
0,I advise EVERYONE DO NOT BE FOOLED!
1,So Far So Good!.
1,So Far So Good!.
1,Works great!.
1,Good
1,very good
1,very good
1,very good
1,Awesome
0,Not good
0,battery not good
0,Not awesome
1,Super
0,Worst
1,not bad
0,bad
0,front camera bad
1,bvc
0,not bvc
1,Simply great. Camera quality and focusing too good. Front camera also good. Speed and performance better. Screen wise and clarity of screen awesome.
0,Problem charging
0,So there is no way for me to plug it in here in the US unless I go by a converter.
1,Good case Excellent value.
1,Great for the jawbone.
0,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!
1,The mic is great.
0,I have to jiggle the plug to get it to line up right to get decent volume.
0,If you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one.
1,If you are Razr owner...you must have this!
0,Needless to say I wasted my money.
0,What a waste of money and time!.
0,Akshu is dumb.
1,And the sound quality is great.
1,He was very impressed when going from the original battery to the extended battery.
0,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.
1,Very good quality though
0,The design is very odd as the ear "clip" is not very comfortable at all.
1,Highly recommend for any one who has a blue tooth phone.
0,I advise EVERYONE DO NOT BE FOOLED!
1,So Far So Good!.
1,Works great!.
1,:)
1,;)
1,:P
1,:D
1,:)
1,:P
