0,troubleshooting ad0500 and ad0600 no picture scrolling b/w.
0,repost from january 13, 2004 with a better fit title.
0,does your apex dvd player only play dvd audio without video?
0,or does it play audio and video but scrolling in black and white?
0,before you try to return the player or waste hours calling apex tech   or run the player over with your   try these simple troubleshooting ideas first.
0,no picture:  hopefully you still have the remote control.
0,if you tossed it out the   you need to fetch it.
1,using the remote   press the i/p button located on the bottom right corner of the remote.
1,the i/p button switches the tv display between interlace and progressive.
0,if this doesnt bring back the   try pressing this button without playing a dvd.
0,if you dont get video   now you can run the player over with your car!
0,picture scrolling in b/w:  you need the remote control for this so you better get it from your dog before he burries it in the backyard.
1,press the p/n button located on the bottom right corner of the remote.
1,the p/n button switches your dvd players video output signal between pal and ntsc.
1,by pressing p/  you should be able to get a good picture on the screen.
1,for other problems go to http://www.apexdigitalinc.com/support.asp  i hope i have helped you continue to enjoy the apex dvd player with these troubleshooting tips.
0,i have done some research and experimenting with the remote when my apex ad0500 seemed to have lost its video signal.
1,im a more happier person after discovering the i/p button!
0,the button was probably accidentally pushed to cause the black screen in the first place.
1,  if you're looking for my opinion of the apex dvd   i love it!
1,it practically plays almost everything you give it.
1,i've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor.
1,for the price it is a well spent investment!
1,i would recommend buying one.
1,incredibe price / performance.
1,i've owned 6 or 7 dvd players since 1998.  this is by far the nicest   in so many ways.
1,it's very sleek looking with a very good front panel button   and it has a great feature set.
1,its fast-forward and rewind work much more smoothly and consistently than those of other models i've had.
1,it plays alternate video formats (    cvds) very well.
1,it plays alternate video formats (    cvds) very well.
1,and amazon.com has it for such a great price -- how can you go wrong?
1,i've bought one for the den and will buy a 2nd one for the bedroom.
1,strengths are well listed by other reviewers.
1,what got me to buy was the reviewer that said it would play dvd-rs fill of files (e., mp3s).
0,1,it sure does!
1,1,that's a rare and valuable feature.
1,i have a dvd burner on my computer and a zillion mp3  and it's a lot nicer to access them 1 gb at a time (dvd-r) than 1 gb at a time (cd-r)!
1,another nice thing is that the unit has both optical and coax digital audio   though the latter was not mentioned in the literature i'd scanned before buying.
1,saved me from having to buy an expensive optical   as i already had a coax cable.
1,at double-speed (2x forward speed), it still plays mp3s with sound -- they are pitch-corrected and   but twice as fast!
0,i wish it would do the same for   but that's one rare / cool feature you will have to forgo.
0,weaknesses are minor: the feel and layout of the remote control are only so-so; it doesn't show the complete filenames of mp3s with really long names; you must cycle through every zoom setting (2  3  4  1/2  etc.
1,) before getting back to normal size [ sorry if i'm just ignorant of a way to get back to 1x quickly ].
1,if you're a bargain hunter and you want a great feature set for a rock-bottom   i highly recommend this model.
1,update: the finish is more " mirror " than silver -- and i like it!
0,doesnt play new disney movies.
0,many of our disney movies don't play on this dvd player.
0,i spoke to a rep. at apex and was told that a new format is being used and we wont be able to view any disney movies made in the last couple months.
0,poor quality - problem with dual-layer dvd's.
0,player has a problem with dual-layer dvd's such as alias season 1 and season 2.  for the   get a better quality player.
1,player works and looks great - if you can get the dvd's to play.
0,i know the saying is " you get what you pay for " but at this stage of game dvd players must have better quality than this - there is no excuse.
0,will never purchase apex again.
0,customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them.
0,pass this player   and never believe the reviews on a product right before christmas!
0,has destroyed several of my dvds and cds.
1,for the first few   this player was everything i expected it to   an affordable multi-format dvd player with a stylish slim case as advertised.
0,then my dvds would stop playing in the   or not even be read at all.
0,new cds almost always began skipping after a few plays.
0,i thought it was just the   but then i started checking the discs to find that the apex 2600 is actually ruining my media.
0,there are funny little ridges on the dvd that look like the slice of a tree trunk!
0,this player is not worth any price and i recommend that you don't purchase it.
0,i intend to contact the   but from what i've read.
0,i just got screwed out of fifty bucks.
0,apex doesn't answer the phone.
0,* sigh.
0,their customer service sucks.
0,no way to contact their customer service.
0,very bad quality.
1,great value.
1,i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites.
1,i took it to my father's house to play a tom jones concert dvd and he loved the player so much i gave it to him.
1,now i need to buy myself another one!
1,have used it frequently and have had no problems.
1,i always research electronics online before i buy because even within the same   some models are better than others.
1,i liked this one enough to buy another.
1,my dad also has an apex tv and it was another great value for the money.
1,great quality picture and features.
0,2 out of three ain't good.
0,thought i'd weigh in here with my stats.
1,i've bought 3 apex dvd players now.
0,they play just about   but # 2 and # 3 died very shortly after getting them.
0,i am back to using # 1.  nice   but i consider their quality pretty low now.
0,buy a better known brand name.
0,this item broke just two weeks after i gave it to my kids for christmas.
0,the door would not close.
0,i tried to contact apex to return it (i missed the amazon return period) and it took 3 months to get through to their customer service dept.
0,i am still trying to resolve it four months later.
0,piece of crap... it looks great - and is loaded with features.
0,unfortunately it turns out to be the " disposable " type.
0,have had problems since the first day  - not playing some dvds and then finally after less than 60   it just would not recognize anything i pop in it.
0,save money on the long run - buy something decent once instead of buying cheap every month.
1,i've had no problems.
1,the apex 2600 has been a steady performer for me.
1,i bought mine in december of 2003, and have had no real problems with it.
0,it does tend to run quite hot and should be given lots of room for air circulation.
0,it did also seem to have a strong " new electronics " smell for some time.
0,the only thing i did experience was a problem of the player freezing while   which i was able to clear by opening it up and blowing it out with " canned air.
